contrast-1-0,correlation-1-0,dissimilarity-1-0,contrast-1-45,correlation-1-45,dissimilarity-1-45,contrast-1-90,correlation-1-90,dissimilarity-1-90,contrast-1-135,correlation-1-135,dissimilarity-1-135,Class
10.54125204,0.99739037,1.24681609,24.40471072,0.99396672,1.73375982,20.76311697,0.99486187,1.44231348,25.49518169,0.99369713,1.72387597,1
9.65901833,0.99736885,1.16376238,22.45727652,0.99389104,1.6544147,15.69563565,0.99572612,1.3237456,19.4586576,0.99470674,1.61870766,1
8.91522031,0.99740452,1.07011941,17.62259205,0.99487684,1.41263789,13.60100977,0.99604201,1.10709077,19.83737708,0.99423297,1.42545001,1
8.6090245,0.99732789,1.04453624,17.40286607,0.99460609,1.39099076,12.07136105,0.99625483,1.05054058,17.98370139,0.99442606,1.37556523,1
6.70394412,0.99749268,0.93578558,13.86556644,0.99482171,1.26016538,9.65397541,0.99639094,0.97759561,13.67059935,0.99489452,1.25295096,1
4.95110733,0.99812578,0.92036741,14.25238501,0.99461264,1.28054154,11.57708899,0.99561949,1.01985199,14.334867,0.99458147,1.30385947,1
4.38162046,0.99856333,0.8784269,14.96526454,0.99510023,1.34761151,12.80249105,0.99580411,1.09852297,15.51977254,0.99491868,1.32006343,1
5.09643348,0.99781787,0.9233527,11.80435879,0.99495314,1.26535358,9.18073605,0.99607091,1.00353825,12.05395267,0.99484643,1.26826253,1
3.27306265,0.99865057,0.76870815,10.65638491,0.99561294,1.14059527,8.87258651,0.9963437,0.9079844,11.22061837,0.99538066,1.11905245,1
8.99390601,0.9967741,1.12849826,18.27059587,0.99345607,1.51311827,13.74317624,0.99507287,1.21227736,18.86123586,0.99324452,1.53259238,1
6.78127989,0.99745055,0.99198139,15.92950534,0.99401987,1.381302,13.37025019,0.99497568,1.09568311,19.07653468,0.99283844,1.39048855,1
8.88743482,0.99771387,1.10836882,18.48399403,0.99525211,1.46944349,13.86011197,0.99643624,1.13569769,19.22108195,0.99506277,1.45409909,1
9.42839952,0.99771312,1.17525996,25.53883909,0.99381391,1.70002105,19.03327764,0.9953852,1.36753959,22.52541273,0.99454383,1.64425657,1
7.70184787,0.99773457,1.03331058,16.60064939,0.99512408,1.39859729,12.65564422,0.99627908,1.10515187,16.3285102,0.99520401,1.36754148,1
12.74658274,0.99716162,1.17293422,22.1739767,0.99506889,1.525772,14.14046101,0.9968524,1.19711153,22.35485491,0.99502867,1.53182748,1
17.36780485,0.99710877,1.55816864,34.38453738,0.9942837,2.12820231,24.02033237,0.99600272,1.74603153,30.4652655,0.99493526,2.06647312,1
11.66959217,0.99578879,1.10474521,19.83317591,0.99285294,1.47436707,13.01796518,0.99530616,1.14893428,20.11175497,0.99275262,1.44713577,1
8.72937494,0.99753877,1.06699721,24.75272014,0.99303125,1.55564376,20.30051935,0.99427854,1.27693234,24.90139324,0.9929894,1.54909187,1
2.41264772,0.99919158,0.65063717,6.028228,0.997983,1.00723374,4.5267317,0.99848381,0.82035205,6.72959922,0.99774833,1.05603104,1
10.2159971,0.99695955,1.09921241,23.66374033,0.99296752,1.52696185,17.40217542,0.99482274,1.23913446,21.23861097,0.99368823,1.50216626,1
13.56302262,0.99627717,1.26006665,28.85991659,0.99208959,1.6665527,19.23108949,0.99472334,1.29077278,25.0674505,0.99312909,1.61510914,1
11.89821115,0.99688058,1.31724598,27.31484432,0.99284756,1.85043064,20.66622615,0.99458344,1.51205589,24.85261525,0.9934923,1.79370037,1
12.23729905,0.99716374,1.25552701,23.65015559,0.99452613,1.63956671,16.17617337,0.99625226,1.28335481,21.66756871,0.99498501,1.60747364,1
12.23723541,0.99651946,1.32064203,27.82765741,0.9920953,1.8858634,23.50016399,0.99331827,1.59476672,29.32601267,0.99166968,1.88142079,1
9.88356822,0.99706076,1.20787628,24.91840267,0.99259871,1.72887874,20.76332533,0.99382746,1.41190463,24.85605152,0.99261723,1.67110928,1
7.22271398,0.99767724,1.08421079,16.80517391,0.99460245,1.53828279,14.47816088,0.99534589,1.25358069,19.27104979,0.99381046,1.52479269,1
